date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:35:02	770/770	U--MC-	200	updated ('OK')	text/plain	date:Thu,%2009%20May%202013%2012:35:02%20GMT	http://lebd2013.wordpress.com/robots.txt		(from )
13:35:03	23915/23915	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:35:02%20GMT	http://lebd2013.wordpress.com/	lebd2013.wordpress.com/index.html	(from )
13:35:04	1516/1516	---MC-	404	error ('Not%20Found')	text/xml	date:Thu,%2009%20May%202013%2012:35:03%20GMT	http://lebd2013.wordpress.com/feed/	lebd2013.wordpress.com/feed/index.html	(from http://lebd2013.wordpress.com/)
13:35:04	869/869	U--MC-	200	updated ('OK')	text/xml	date:Thu,%2009%20May%202013%2012:35:03%20GMT	http://lebd2013.wordpress.com/xmlrpc.php?rsd	lebd2013.wordpress.com/xmlrpc0db0.php	(from http://lebd2013.wordpress.com/)
13:35:04	1525/1525	---MC-	404	error ('Not%20Found')	text/xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://lebd2013.wordpress.com/comments/feed/	lebd2013.wordpress.com/comments/feed/index.html	(from http://lebd2013.wordpress.com/)
13:35:05	10083/10083	U-----	200	untouched ('')	image/png	date:Sun,%2016%20Dec%202012%2007:37:41%20GMT	http://s0.wp.com/i/webclip.png?m=1355642671g	s0.wp.com/i/webclipd263.png	(from http://lebd2013.wordpress.com/)
13:35:05	19030/19030	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:35:05%20GMT	http://lebd2013.wordpress.com/thermal-modelling-demand-reduction/	lebd2013.wordpress.com/thermal-modelling-demand-reduction/index.html	(from http://lebd2013.wordpress.com/)
13:35:05	19285/19285	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:35:04%20GMT	http://lebd2013.wordpress.com/about/	lebd2013.wordpress.com/about/index.html	(from http://lebd2013.wordpress.com/)
13:35:06	24/24	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:35:06%20GMT	http://lebd2013.wordpress.com/?openidserver=1	lebd2013.wordpress.com/indexdd8f.html	(from http://lebd2013.wordpress.com/)
13:35:06	1377/1377	U--MC-	200	updated ('OK')	application/xml	date:Thu,%2009%20May%202013%2012:35:06%20GMT	http://lebd2013.wordpress.com/osd.xml	lebd2013.wordpress.com/osd.xml	(from http://lebd2013.wordpress.com/)
13:35:07	18314/18314	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:35:06%20GMT	http://lebd2013.wordpress.com/site-analysis/	lebd2013.wordpress.com/site-analysis/index.html	(from http://lebd2013.wordpress.com/)
13:35:07	19032/19032	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:35:07%20GMT	http://lebd2013.wordpress.com/site-analysis/design-brief/	lebd2013.wordpress.com/site-analysis/design-brief/index.html	(from http://lebd2013.wordpress.com/)
13:35:08	20783/20783	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:35:08%20GMT	http://lebd2013.wordpress.com/site-analysis/map-and-location/	lebd2013.wordpress.com/site-analysis/map-and-location/index.html	(from http://lebd2013.wordpress.com/)
13:35:09	18350/18350	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:35:08%20GMT	http://lebd2013.wordpress.com/design/	lebd2013.wordpress.com/design/index.html	(from http://lebd2013.wordpress.com/)
13:35:09	19590/19590	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:35:08%20GMT	http://lebd2013.wordpress.com/site-analysis/climate-2/	lebd2013.wordpress.com/site-analysis/climate-2/index.html	(from http://lebd2013.wordpress.com/)
13:35:10	19188/19188	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:35:09%20GMT	http://lebd2013.wordpress.com/design/location-and-orientation/	lebd2013.wordpress.com/design/location-and-orientation/index.html	(from http://lebd2013.wordpress.com/)
13:35:10	23061/23061	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:35:09%20GMT	http://lebd2013.wordpress.com/design/geometry/geometry-development/	lebd2013.wordpress.com/design/geometry/geometry-development/index.html	(from http://lebd2013.wordpress.com/)
13:35:10	18251/18251	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:35:09%20GMT	http://lebd2013.wordpress.com/design/geometry/	lebd2013.wordpress.com/design/geometry/index.html	(from http://lebd2013.wordpress.com/)
13:35:11	20505/20505	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:35:11%20GMT	http://lebd2013.wordpress.com/design/geometry/2d-plans/	lebd2013.wordpress.com/design/geometry/2d-plans/index.html	(from http://lebd2013.wordpress.com/)
13:35:12	24950/24950	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:35:11%20GMT	http://lebd2013.wordpress.com/design/materials/	lebd2013.wordpress.com/design/materials/index.html	(from http://lebd2013.wordpress.com/)
13:35:12	20432/20432	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:35:11%20GMT	http://lebd2013.wordpress.com/design/geometry/3d-renders/	lebd2013.wordpress.com/design/geometry/3d-renders/index.html	(from http://lebd2013.wordpress.com/)
13:35:13	29787/29787	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:35:12%20GMT	http://lebd2013.wordpress.com/thermal-modelling-demand-reduction/evolution-of-the-thermal-model/	lebd2013.wordpress.com/thermal-modelling-demand-reduction/evolution-of-the-thermal-model/index.html	(from http://lebd2013.wordpress.com/)
13:35:13	19801/19801	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:35:12%20GMT	http://lebd2013.wordpress.com/thermal-modelling-demand-reduction/iteration-summary/	lebd2013.wordpress.com/thermal-modelling-demand-reduction/iteration-summary/index.html	(from http://lebd2013.wordpress.com/)
13:35:13	20637/20637	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:35:13%20GMT	http://lebd2013.wordpress.com/thermal-modelling-demand-reduction/comfort-analysis/	lebd2013.wordpress.com/thermal-modelling-demand-reduction/comfort-analysis/index.html	(from http://lebd2013.wordpress.com/)
13:35:14	19120/19120	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:35:14%20GMT	http://lebd2013.wordpress.com/lighting/	lebd2013.wordpress.com/lighting/index.html	(from http://lebd2013.wordpress.com/)
13:35:14	19775/19775	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:35:14%20GMT	http://lebd2013.wordpress.com/lighting/requirements/	lebd2013.wordpress.com/lighting/requirements/index.html	(from http://lebd2013.wordpress.com/)
13:35:15	22919/22919	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:35:14%20GMT	http://lebd2013.wordpress.com/lighting/dialux-evo/	lebd2013.wordpress.com/lighting/dialux-evo/index.html	(from http://lebd2013.wordpress.com/)
13:35:15	24203/24203	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:35:15%20GMT	http://lebd2013.wordpress.com/lighting/dialux-4-11/	lebd2013.wordpress.com/lighting/dialux-4-11/index.html	(from http://lebd2013.wordpress.com/)
13:35:16	23267/23267	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:35:15%20GMT	http://lebd2013.wordpress.com/lighting/useage/	lebd2013.wordpress.com/lighting/useage/index.html	(from http://lebd2013.wordpress.com/)
13:35:16	19030/19030	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:35:15%20GMT	http://lebd2013.wordpress.com/lighting/type-of-bulbs-used/	lebd2013.wordpress.com/lighting/type-of-bulbs-used/index.html	(from http://lebd2013.wordpress.com/)
13:35:17	19971/19971	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:35:16%20GMT	http://lebd2013.wordpress.com/lighting/annual-demand/	lebd2013.wordpress.com/lighting/annual-demand/index.html	(from http://lebd2013.wordpress.com/)
13:35:17	21565/21565	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:35:17%20GMT	http://lebd2013.wordpress.com/energy-systems/	lebd2013.wordpress.com/energy-systems/index.html	(from http://lebd2013.wordpress.com/)
13:35:17	20109/20109	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:35:17%20GMT	http://lebd2013.wordpress.com/energy-systems/appliance-demand/	lebd2013.wordpress.com/energy-systems/appliance-demand/index.html	(from http://lebd2013.wordpress.com/)
13:35:18	21831/21831	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:35:18%20GMT	http://lebd2013.wordpress.com/energy-systems/ground-source-heat-pump-selection/	lebd2013.wordpress.com/energy-systems/ground-source-heat-pump-selection/index.html	(from http://lebd2013.wordpress.com/)
13:35:19	19954/19954	U--MC-	200	updated ('OK')	text/html	date:Thu,%2009%20May%202013%2012:35:18%20GMT	http://lebd2013.wordpress.com/energy-systems/mvhr-selection/	lebd2013.wordpress.com/energy-systems/mvhr-selection/index.html	(from http://lebd2013.wordpress.com/)
