date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:29:44	43893/43893	U-----	200	untouched ('')	image/jpeg	date:Wed,%2001%20May%202013%2019:49:42%20GMT	http://lebd2013.files.wordpress.com/2013/05/toilet-21.jpg	lebd2013.files.wordpress.com/2013/05/toilet-21.jpg	(from http://lebd2013.wordpress.com/lighting/useage/)
13:29:44	38393/38393	U-----	200	untouched ('')	image/jpeg	date:Wed,%2001%20May%202013%2019:49:42%20GMT	http://lebd2013.files.wordpress.com/2013/05/toilet-21.jpg?w=594	lebd2013.files.wordpress.com/2013/05/toilet-213a9b.jpg	(from http://lebd2013.wordpress.com/lighting/useage/)
13:29:44	53215/53215	U-----	200	untouched ('')	image/jpeg	date:Wed,%2001%20May%202013%2019:49:31%20GMT	http://lebd2013.files.wordpress.com/2013/05/garage1.jpg	lebd2013.files.wordpress.com/2013/05/garage1.jpg	(from http://lebd2013.wordpress.com/lighting/useage/)
13:29:44	46229/46229	U-----	200	untouched ('')	image/jpeg	date:Wed,%2001%20May%202013%2019:49:31%20GMT	http://lebd2013.files.wordpress.com/2013/05/garage1.jpg?w=594	lebd2013.files.wordpress.com/2013/05/garage13a9b.jpg	(from http://lebd2013.wordpress.com/lighting/useage/)
13:29:45	46050/46050	U-----	200	untouched ('')	image/jpeg	date:Wed,%2001%20May%202013%2019:49:36%20GMT	http://lebd2013.files.wordpress.com/2013/05/stairway-11.jpg	lebd2013.files.wordpress.com/2013/05/stairway-11.jpg	(from http://lebd2013.wordpress.com/lighting/useage/)
13:29:45	37048/37048	U-----	200	untouched ('')	image/jpeg	date:Wed,%2001%20May%202013%2019:49:36%20GMT	http://lebd2013.files.wordpress.com/2013/05/stairway-11.jpg?w=594	lebd2013.files.wordpress.com/2013/05/stairway-113a9b.jpg	(from http://lebd2013.wordpress.com/lighting/useage/)
13:29:45	42582/42582	U-----	200	untouched ('')	image/jpeg	date:Wed,%2001%20May%202013%2019:49:38%20GMT	http://lebd2013.files.wordpress.com/2013/05/stairway-21.jpg	lebd2013.files.wordpress.com/2013/05/stairway-21.jpg	(from http://lebd2013.wordpress.com/lighting/useage/)
13:29:45	34017/34017	U-----	200	untouched ('')	image/jpeg	date:Wed,%2001%20May%202013%2019:49:38%20GMT	http://lebd2013.files.wordpress.com/2013/05/stairway-21.jpg?w=594	lebd2013.files.wordpress.com/2013/05/stairway-213a9b.jpg	(from http://lebd2013.wordpress.com/lighting/useage/)
13:29:45	37772/37772	U-----	200	untouched ('')	image/jpeg	date:Wed,%2001%20May%202013%2019:49:30%20GMT	http://lebd2013.files.wordpress.com/2013/05/corridor1.jpg	lebd2013.files.wordpress.com/2013/05/corridor1.jpg	(from http://lebd2013.wordpress.com/lighting/useage/)
13:29:45	32750/32750	U-----	200	untouched ('')	image/jpeg	date:Wed,%2001%20May%202013%2019:49:30%20GMT	http://lebd2013.files.wordpress.com/2013/05/corridor1.jpg?w=594	lebd2013.files.wordpress.com/2013/05/corridor13a9b.jpg	(from http://lebd2013.wordpress.com/lighting/useage/)
